Origin of trust,Gre,Por,Spa,Ita,Fra,Aus,Bel,Ger,NL,Ire,UK,Den,Swe,Nor,Fin
Fin,42,-2,0,1,-7,-16,-13,-12,-18,-7,-14,-18,-13,-18,-15
Nor,-3,37,4,4,1,-10,-8,-6,-10,-6,-5,-11,-13,-13,-11
Swe,-4,4,41,5,-7,-8,-7,1,-5,-4,-13,-7,-4,-5,-8
Den,1,0,3,21,6,-4,-3,10,1,1,3,0,0,-3,0
UK,1,4,4,5,25,-7,4,6,-2,1,-5,-1,-1,-3,-3
Ire,-2,-3,-4,-1,-5,38,0,10,-4,-6,-8,-6,-1,-4,-4
NL,0,1,-1,2,2,-3,12,-3,-3,-1,-4,-2,-4,-6,-4
Ger,-2,-4,-2,0,6,9,-3,39,0,-5,-7,1,3,-1,-2
Bel,-5,-1,-2,-3,-9,-6,3,-2,21,1,1,18,12,10,8
Aus,1,1,-1,6,-1,-6,-4,-5,-6,41,-4,-7,-10,-9,-8
Fra,-1,1,-1,3,-8,-5,-2,-11,4,3,28,2,-3,-1,-3
Ita,-5,-4,-6,-4,-8,5,-4,-3,10,2,5,31,15,22,4
Spa,-8,-7,-12,-8,-11,8,-6,-8,-3,2,7,12,10,15,8
Por,-8,-8,-10,-6,-5,,1,-4,5,2,10,24,,,
Gre,-10,-12,-14,-12,-8,5,-4,-7,-3,-5,3,6,9,16,36
